ID,Source_Form_ID,Target_Form_ID,Comment,Subset,Example_ID
027050-rbh-rbh-apossessive,027050-rbh-rbh-apossessive-s,027050-rbh-rbh-apossessive-t,,30sources,027050-rbh-rbh-apossessive
027011-ci-ci-quotative,027011-ci-ci-quotative-s,027011-ci-ci-quotative-t,,30sources,027011-ci-ci-quotative
027047-tha-tha-quotative,027047-tha-tha-quotative-s,027047-tha-tha-quotative-t,Target Meaning also: COMPLEMENTIZER,30sources,027047-tha-tha-quotative
027005-mk-mk-venitive,027005-mk-mk-venitive-s,027005-mk-mk-venitive-t,,30sources,027005-mk-mk-venitive
027037-tu-tu-andative,027037-tu-tu-andative-s,027037-tu-tu-andative-t,,30sources,027037-tu-tu-andative
027042-ce-ce-outspatial,027042-ce-ce-outspatial-s,027042-ce-ce-outspatial-t,,30sources,027042-ce-ce-outspatial
027044-nu-nu-locative,027044-nu-nu-locative-s,027044-nu-nu-locative-t,Target Meaning also: GOAL marker,30sources,027044-nu-nu-locative
027001-dl-dl-allative,027001-dl-dl-allative-s,027001-dl-dl-allative-t,,30sources,027001-dl-dl-allative
027006-mk-mk-allative,027006-mk-mk-allative-s,027006-mk-mk-allative-t,,30sources,027006-mk-mk-allative
027019-tam-tam-pathspatialcase,027019-tam-tam-pathspatialcase-s,027019-tam-tam-pathspatialcase-t,,30sources,027019-tam-tam-pathspatialcase
027039-tu-tu-allative,027039-tu-tu-allative-s,027039-tu-tu-allative-t,,30sources,027039-tu-tu-allative
027048-kha-kha-locative,027048-kha-kha-locative-s,027048-kha-kha-locative-t,,30sources,027048-kha-kha-locative
027003-dl-dl-temporalmarker,027003-dl-dl-temporalmarker-s,027003-dl-dl-temporalmarker-t,,30sources,027003-dl-dl-temporalmarker
027027-ban-ban-past,027027-ban-ban-past-s,027027-ban-ban-past-t,,30sources,027027-ban-ban-past
027004-khlun-khlun-reflexive,027004-khlun-khlun-reflexive-s,027004-khlun-khlun-reflexive-t,(most in compounded form: khlu:ǝn-pra:n),30sources,027004-khlun-khlun-reflexive
027010-ci-ci-adverbializer,027010-ci-ci-adverbializer-s,027010-ci-ci-adverbializer-t,,30sources,027010-ci-ci-adverbializer
027024-daoy-daoy-adverbializer,027024-daoy-daoy-adverbializer-s,027024-daoy-daoy-adverbializer-t,,30sources,027024-daoy-daoy-adverbializer
018030-nin-nin-perfectaspect,018030-nin-nin-perfectaspect-s,018030-nin-nin-perfectaspect-t,,othersources,018030-nin-nin-perfectaspect
018031-nanin-nanin-perfectaspect,018031-nanin-nanin-perfectaspect-s,018031-nanin-nanin-perfectaspect-t,,30sources,018031-nanin-nanin-perfectaspect
018047-tere-tere-past,018047-tere-tere-past-s,018047-tere-tere-past-t,,othersources,018047-tere-tere-past
025019-koisisi-koiss-progressive,025019-koisisi-koiss-progressive-s,025019-koisisi-koiss-progressive-t,,30sources,025019-koisisi-koiss-progressive
