ID,Name,Description,ColumnSpec
purposecase,PURPOSE (CASE),,
subjunctive,SUBJUNCTIVE,,
modalsharedknowledge,MODAL (shared knowledge),,
however,'however',,
succeed,SUCCEED,,
exclamation,EXCLAMATION,,
have,'have',,
honorific,HONORIFIC,,
anticausative,ANTICAUSATIVE,,
possessivepronoun,POSSESSIVE PRONOUN,,
companion,'companion',,
nearabouttodo,"'near, about (to do)'",,
know,'know',,
or,OR,,
middle,MIDDLE,,
payoff,'pay off',,
touch,'touch',,
armpitsideplace,"'armpit, side, place'",,
ear,'ear',,
door,'door',,
focus,FOCUS,,
fall,'fall',,
power,'power',,
consecutiveconjunction,CONSECUTIVE (CONJUNCTION),,
then,'then',,
topic,TOPIC,,
correlative,CORRELATIVE,,
frequentative,FREQUENTATIVE,,
instrumental,INSTRUMENTAL,,
copulanegative,"COPULA, NEGATIVE",,
distalspatial,DISTAL (SPATIAL),,
proximalspatial,PROXIMAL (SPATIAL),,
medialspatial,MEDIAL (SPATIAL),,
intestines,'intestines',,
timeepoch,"'time, epoch'",,
grasptake,"'grasp, take'",,
here,'here',,
follow,'follow',,
matter,'matter',,
mirative,MIRATIVE,,
together,'together',,
cislocative,CISLOCATIVE,,
existnegative,"EXIST, NEGATIVE",,
dual,DUAL,,
two,'two',,
evidentialdirect,"EVIDENTIAL, DIRECT",,
evidentialegophoric,"EVIDENTIAL, EGOPHORIC",,
antipassive,ANTIPASSIVE,,
make,'make',,
propietivepronoun,PROPIETIVE PRONOUN,,
resultativeaspect,RESULTATIVE (ASPECT),,
optative,OPTATIVE,,
pluractionality,PLURACTIONALITY,,
towards,'towards',,
transitivizer,TRANSITIVIZER,,
gap,'gap',,
intoput,'(into-) put',,
caritivecase,CARITIVE (CASE),,
intransitive,INTRANSITIVE,,
functional,FUNCTIONAL,,
incremental,INCREMENTAL,,
accordcaseconjunction,ACCORD (CASE/CONJUNCTION),,
materialcase,MATERIAL (CASE),,
pathspatialcase,"PATH (SPATIAL, CASE)",,
sand,S-AND,,
outspatial,OUT (SPATIAL),,
mannerconjunction,MANNER (CONJUNCTION),,
exist,'exist',,
after,AFTER,,
eat,'eat',,
support,'support',,
think,'think',,
similativecase,SIMILATIVE (CASE),,
adhere,'adhere',,
pejorative,PEJORATIVE,,
evidentialinferential,"EVIDENTIAL, INFERENTIAL",,
appearance,'appearance',,
dissatisfaction,DISSATISFACTION,,
begood,'be good',,
law,'law',,
way,'way',,
certaintyepistemicmodality,CERTAINTY (EPISTEMIC MODALITY),,
error,'error',,
ground,'ground',,
promissive,PROMISSIVE,,
counterexpectation,COUNTEREXPECTATION,,
servant,'servant',,
some,SOME,,
avertive,AVERTIVE,,
narrowescape,'narrow escape',,
domain,'domain',,
herd,'herd',,
let,'let',,
send,'send',,
experiential,EXPERIENTIAL,,
cross,'cross',,
ascendupperside,"'ascend, upper side'",,
bear,'bear',,
bamboo,'bamboo',,
meet,'meet',,
receive,'receive',,
incompletive,INCOMPLETIVE,,
except,EXCEPT,,
proximativeaspect,PROXIMATIVE (ASPECT),,
contactspatial,CONTACT (SPATIAL),,
meaning,'meaning',,
sidespatialcase,"SIDE (SPATIAL, CASE)",,
home,'home',,
oldtimes,'old times',,
switchreference,SWITCH-REFERENCE,,
persistive,PERSISTIVE,,
move,'move',,
abidereside,"'abide, reside'",,
interiorhole,"'interior, hole'",,
superlative,SUPERLATIVE,,
top,'top',,
pastnear,"PAST, NEAR",,
sleep,'sleep',,
lend,'lend',,
beinside,'be inside',,
augmentative,AUGMENTATIVE,,
bebig,'be big',,
win,'win',,
use,'use',,
takepickup,"'take, pick up'",,
distributive,DISTRIBUTIVE,,
notdo,'not do',,
concerncase,CONCERN (CASE),,
hold,'hold',,
always,'always',,
linker,LINKER,,
intensive,INTENSIVE,,
bodyinterior,"'body', 'interior'",,
holdkeep,"'hold, keep'",,
put,'put',,
createaimfit,"'create, aim, fit'",,
stativeaspect,STATIVE (ASPECT),,
belying,'be lying',,
pet,'pet',,
alienable,ALIENABLE,,
inalienable,INALIENABLE,,
endfinish,'end' (≈ 'finish'),,
middlecenter,"'middle, center'",,
upperpartofbody,'upper part of body',,
inceptive,INCEPTIVE,,
sizeamount,"'size, amount'",,
indefinitemarker,INDEFINITE MARKER,,
pluperfect,PLUPERFECT,,
bemighty,'be mighty',,
letrelease,"'let, release'",,
inordertobe,'in order (to be)',,
group,'group',,
camarade,'camarade',,
walk,'walk',,
people,'people',,
indefinitearticle,INDEFINITE ARTICLE,,
enecessity,E-NECESSITY,,
end,'end',,
partitive,PARTITIVE,,
lackofcontrol,LACK of CONTROL,,
talk,'talk',,
up,'up',,
still,'still',,
piece,'piece',,
play,'play',,
belong,'belong',,
byandby,'by and by',,
pastdistant,"PAST, DISTANT",,
build,'build',,
increase,'increase',,
spendday,'spend day',,
spreadstretch,"'spread, stretch'",,
iamitiveprogressive,IAMITIVE PROGRESSIVE,,
spend,'spend',,
belike,'be like',,
liver,'liver',,
behindabove,"'behind, above'",,
begin,'begin',,
suit,'suit',,
surroundrevolve,"'surround, revolve'",,
spendnight,'spend night',,
gooutcomefrom,"'go out, come from'",,
surround,'surround',,
fear,'fear',,
struggle,'struggle',,
lookfor,'look for',,
replacive,REPLACIVE,,
finiteness,FINITENESS,,
skin,'skin',,
conditional,CONDITIONAL,,
set,'set',,
exchange,'exchange',,
stand,'stand',,
cessativeaspect,CESSATIVE (ASPECT),,
ceasestop,"'cease, stop'",,
wishto,'wish to',,
thinkdesireintendtoplanto,"'think, desire, intend to, plan to'",,
thistimespan,'this time span',,
front,'front',,
causecase,CAUSE (CASE),,
reason,'reason',,
shellshuck,"'shell, shuck'",,
personhumanbeing,"'person, human being'",,
counterpart,'counterpart',,
