ID,Language_ID,Name,Description
964,yaqui,Gram: -yaate,CESSATIVE aspect
965,yaqui,Gram: -bae,DESIDERATIVE
966,yaqui,Gram: -ii'aa,indirect DESIDERATIVE
967,yaqui,Gram: -'ea,SUBJUNCTIVE
968,yawuru,Gram: -ni,ERGATIVE
969,yawuru,Gram: -jina,GEN of Animates
970,yawuru,Gram: -nga...-ngany,predicative POSSESSION ('have')
971,yawuru,Gram: -jinaburu,INSTRUMENTAL NOMINALIZER
972,yucatec,Gram: k,IMPERFECTIVE aspect
973,yucatec,"Gram: tíin, táan, túun",PROGRESSIVE aspect
974,yucatec,Gram: ts',TERMINATIVE aspect
975,yucatec,Gram: t,PERFECTIVE
976,yucatec,Gram: o'l,adposition 'on account of' (preposition)
977,yucatec,Gram: ts'a',CAUSATIVE
978,yucatec,Gram: yo'lal,'in order that'
979,yucatec,Gram: (y)éetel,COORDINATOR
980,yucatec,"Gram: ts'o'le, ts'o'kole",discourse-level conjunction
981,yucatec,Gram: le,DEFINITE ARTICLE
982,yucatec,"Gram: hun, un",INDEFINITE ARTICLE
983,yucatec,Gram: -p'éel,inanimate object CLASSIFIER
984,yucatec,Gram: máax,'who' (INTERROGATIVE PRONOUN)
985,yucatec,Gram: ba'x,'what' (INTERROGATIVE PRONOUN)
986,yucatec,Gram: óok'ol,"'on, above' (preposition)"
987,yucatec,"Gram: =la', =a'",this' (deictic clitics)
988,yucatec,Gram: t=u paach,'behind' (preposition)
989,yucatec,Gram: yan,FUTURE
990,yucatec,Gram: bíin,PREDICTIVE FUTURE
991,yucatec,Gram: báah,REFLEXIVE ('self')
992,zazaki,Gram: o,“ezâfe” (clitic linking head noun to depending elements)
