ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Source_comment
seychellescreole,Seychelles Creole,Africa,-4.62314,55.4503,sese1246,crs,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
slovak,Slovak,Eurasia,48.545705,18.78479,slov1269,slk,,Björn Wiemer (Slavic [Indo-European])
sogdian,Sogdian,Eurasia,39.7,66.983,sogd1245,sog,,Agnes Korn (Iranian [Indo-European])
sogdianmanichean,Sogdian (Manichean),Eurasia,39.7,66.983,sogd1245,sog,,Agnes Korn (Iranian [Indo-European])
solomonislandspijin,Solomon Islands Pijin,Papunesia,-9.567,160.137,piji1239,pis,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
southernaymara,Southern Aymara,South America,-17.1417,-70.3442,sout2996,ayc,,Willem F. H. Adelaar (Quechua and Aymara)
spanish,Spanish,Eurasia,40.4414,-1.11788,stan1288,spa,,Michela Cennamo (Romance [Indo-European])
sranan,Sranan,South America,5.83,-55.33,sran1240,srn,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
srilankaportugese,Sri Lanka Portugese,Eurasia,8.5867,81.211885,mala1544,,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
tabasaran,Tabasaran,Eurasia,42.0198,47.8379,taba1259,tab,,Timur Maisak (Lezgic [Northeast Caucasian])
tajio,Tajio,Papunesia,-0.31553,120.01,taji1246,tdj,,Nikolaus P. Himmelmann (Malayo-Polynesian [Austronesian] & Mori [Yareban])
talyshi,Talyshi,Eurasia,38.4552,48.6349,taly1247,tly,,Agnes Korn (Iranian [Indo-European])
tatjewish,Tat (Jewish),Eurasia,42.068306,48.264749,jude1256,jdt,,Agnes Korn (Iranian [Indo-European])
tatmuslim,Tat (Muslim),Eurasia,41.425062,46.645589,musl1236,ttt,,Agnes Korn (Iranian [Indo-European])
ternatechabacano,Ternate Chabacano,Papunesia,7.435034,122.18849,chav1241,cbk,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
thai,Thai,Eurasia,14.192,100.671,thai1261,tha,,Walter Bisang (Thai)
tokpisin,Tok Pisin,Papunesia,-9.41971,147.303,tokp1240,tpi,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
tsakhur,Tsakhur,Eurasia,41.5916,46.8858,tsak1249,tkr,,Timur Maisak (Lezgic [Northeast Caucasian])
tswana,Tswana,Africa,-24.368,24.7587,tswa1253,tsn,,"Denis Creissels (Tswana [Bantu, Niger-Congo])"
tundranenets,Tundra Nenets,Eurasia,66.1775,71.0234,nene1249,yrk,,Juha Janhunen (Uralic)
tuscarora,Tuscarora,North America,35.75362,-77.60117,tusc1257,tus,,Marianne Mithun (Iroquoian)
