ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
beja-conjunction,beja,conjunction,CONCESSION / COMPLEMENTIZER (mostly: REL.F + the thing) / TEMPORAL marker 'when' / TEMPORAL marker 'when' / PURPOSE / CONDITIONAL (doubt) / PURPOSE SUBORDINATOR,,=eːk / na / =hoːb / doːr / mi-jaːd / =uːk / dhaːj,
beja-aspect,beja,aspect,"PERFECT / PERFECT / ""V2-conjugation"" marker (IMPERFECTIVE) / phasal CONTINUATIVE aspect / phasal TERMINATIVE aux",,=wa / ak / -ani / harʔa baj / bʔa,
beja-relativization,beja,relativization,RELATIVIZER / RELATIVIZER / RELATIVIZER,,=t / ti= / w= + =e:b,
beja-case-adposition,beja,case-adposition,until' / until' / next to' (SPATIAL postposition) / SPATIAL postposition 'towards' (ALLATIVE),,(=eːb) hadiːd / (=eːb) oː=kiːk / geːb / beːti,
beja-information-structure-devices,beja,information-structure-devices,Emphatic constructions / Emphatic constructions / DISCOURSE marker (for the end of discursive unit in narratives and poetry),,dʔi- / -ni:n / eːn,
beja-modality,beja,modality,INTENTION / POSSIBILITY,,"-d- / ø, jʔ",
beja-negative,beja,negative,CONTRASTIVE NEGATION aux,,rib,
beja-other,beja,other,adnominal INTENSIFIER / adverbial INTENSIFIER (for predicate or entire phrase) / aux 'upwards' / polar QUESTION marker / INTENSIFIER,,"(i=)kna(=ji) / (i=)kna / ʔas / han / hoːk, =hoːk",
beja-possession,beja,possession,attributive POSSESSION marker,,(i=)kna,
beja-pronoun-proverb,beja,pronoun-proverb,'you (SG)' (personal PRONOUN) / INDEFINITE PRONOUN / question words,,baruːk / gali / naː,
beja-tense,beja,tense,FUTURE aux / IMMEDIATE FUTURE,,di / gad,
beja-valency-change,beja,valency-change,APPLICATIVE marker,,hi,
beja-verbal-deixis,beja,verbal-deixis,Centripetal Movement (lit. 'in our direction'),,o:n mari(-i),
bhojpuri-noun-classification,bhojpuri,noun-classification,CLASSIFIER,,t̩ho,
bhojpuri-number,bhojpuri,number,PLURAL marker for animates / PLURAL marker for inanimates,,man / sab,
bhojpuri-tense,bhojpuri,tense,PRESENT / PAST ('IMPERFECT'),,bāt̩ / rahnā,
bislama-aspect,bislama,aspect,COMPLETIVE Aspect,,finis,
bolivianquechua-copulaic,bolivianquechua,copulaic,"EXISTENTIAL ('to be', 'to live')",,tiya-,
brazilianportuguese-aspect,brazilianportuguese,aspect,HABITUAL,,viver,
budugh-valency-change,budugh,valency-change,CAUSATIVE,,vowel change in stem (low back V to high front V),
bulgarian-tense,bulgarian,tense,FUTURE aux/PARTICLE,,šte,
bulgarian-modality,bulgarian,modality,IRREALIS marker (verbal proclitic),,da,
catalan-aspect,catalan,aspect,COMPLETIVE (aux),,acabar,
catalan-tense,catalan,tense,PAST,,ir,
catalan-verbal-deixis,catalan,verbal-deixis,ANDATIVE,,anar,
cherokee-tense,cherokee,tense,FUTURE,,t(a)-,
chorasmian-modality,chorasmian,modality,POTENTIAL (particle),,=k,
creolese-pronoun-proverb,creolese,pronoun-proverb,RECIPROCAL,,matii,
croatianserbian-conjunction,croatianserbian,conjunction,COMPLEMENTIZER,,da,
croatianserbian-modality,croatianserbian,modality,PROHIBITIVE aux,,nemoj,
czech-valency-change,czech,valency-change,recipient PASSIVE,,dostat,
dakhinihindi-relativization,dakhinihindi,relativization,RELATIVIZER,,so,
dakhinihindi-pronoun-proverb,dakhinihindi,pronoun-proverb,PERSONAL PRONOUN (1 person inclusive),,āpan,
dakhinihindi-verbal-categories-other,dakhinihindi,verbal-categories-other,QUOTATIVE marker,,bolke,
diuindoportuguese-case-adposition,diuindoportuguese,case-adposition,DATIVE marker,,pə,
diuindoportuguese-number,diuindoportuguese,number,PLURAL,,tud,
diuindoportuguese-possession,diuindoportuguese,possession,POSSESSIVE PRONOUN,,del,
earlyjudeopersian-tense,earlyjudeopersian,tense,FUTURE,,be-,
earlysranan-aspect,earlysranan,aspect,PROGRESSIVE,,de,
eastkhantic-case-adposition,eastkhantic,case-adposition,ERGATIVE case,,-na,
