ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Type
18058-ko-ko-subordinator-t,mandinka,subordinator,kó,,,,
18040-ko-ko-imminence-s,mandinka,quotative,kó,,,,
18040-ko-ko-imminence-t,mandinka,imminence,kó,,,,
18032-banta-barabada-perfectaspect-s,maninkamori,finish,bán(-tá),,,,
18032-banta-barabada-perfectaspect-t,maninkamori,perfectaspect,"bárá, bádá",,,,
18079-banta-barabada-completive-s,maninkamori,finish,*bán (*-tá),,,,
18079-banta-barabada-completive-t,maninkamori,completive,"bárá, bádá",,,,
10014-avek-avekek-recipientcase-s,mauritiancreole,comitative,avek,,,,
10014-avek-avekek-recipientcase-t,mauritiancreole,recipientcase,"avek, ek",,,,
7004-bi-bi-durative-s,mian,exist,bi-,,,,
7004-bi-bi-durative-t,mian,durative,-bi,,,,
7008-bi-b-switchreference-s,mian,exist,bi,,,,
7008-bi-b-switchreference-t,mian,switchreference,-b,,,,
7013-bio-bio-past-s,mian,exist,bi(-o),,,,
7013-bio-bio-past-t,mian,past,-bio,,,,
7016-ele-e-personalpronoun-s,mian,demonstrative,éle,,,,
7016-ele-e-personalpronoun-t,mian,personalpronoun,é,,,,
7003-be-be-persistive-s,mian,move,be-,,,,
7003-be-be-persistive-t,mian,persistive,be-,,,,
7011-deibo-deibo-completive-s,mian,leave,deibo᷈,,,,
7011-deibo-deibo-completive-t,mian,completive,deibo᷈,,,,
7012-lo-lo-perfective-s,mian,hit,lô,,,,
7012-lo-lo-perfective-t,mian,perfective,-lo,,,,
7010-daa-daa-locative-s,mian,abidereside,daa,,,,
7010-daa-daa-locative-t,mian,locative,-daa,,,,
7009-tem-tem-locative-s,mian,interiorhole,tem,,,,
7009-tem-tem-locative-t,mian,locative,tem,,,,
7015-daang-daang-behind-s,mian,backbodypart,dǎang,,,,
7015-daang-daang-behind-t,mian,behind,dǎang,,,,
7017-naka-naka-male-s,mian,man,naka,,,,
7017-naka-naka-male-t,mian,male,naka,,,,
7018-unang-unang-female-s,mian,woman,unǎng,,,,
7018-unang-unang-female-t,mian,female,unǎng,,,,
7002-dim-dim-superlative-s,mian,top,dim,,,,
7002-dim-dim-superlative-t,mian,superlative,dim,,,,
7014-kebdimobi-dimobi-hpossessive-s,mian,top,(kéb +) dim(=o) (+ bi),,,,
7014-kebdimobi-dimobi-hpossessive-t,mian,hpossessive,dim=o bi,,,,
7005-so-so-pastnear-s,mian,sleep,s(-o),,,,
7005-so-so-pastnear-t,mian,pastnear,-so,,,,
7006-ub-ub-applicative-s,mian,give,u᷈b-,,,,
7006-ub-ub-applicative-t,mian,applicative,-ub,,,,
7019-ge-ge-quotative-s,mian,say,ge,,,,
7019-ge-ge-quotative-t,mian,quotative,ge,,,,
7007-ib-ib-agreement-s,mian,personalpronoun,íb-,,,,
7007-ib-ib-agreement-t,mian,agreement,-ib,,,,
7001-ele-e-definite-s,mian,proximalspatial,éle,,,,
7001-ele-e-definite-t,mian,definite,=e,,,,
23054-kam-kam-future-s,middlepersian,love,*kām-,,,,
23054-kam-kam-future-t,middlepersian,future,kām-,,,,
23023-ku-ku-complementizer-s,middlepersian,wquestion,*kū,,,,
23023-ku-ku-complementizer-t,middlepersian,complementizer,kū,,,,
6013-ne-ne-complementizer-s,mohawk,demonstrative,ne,,,,
6013-ne-ne-complementizer-t,mohawk,complementizer,ne,,,,
6004-ne-nen-definite-s,mohawk,demonstrative,né:,,,,
6004-ne-nen-definite-t,mohawk,definite,"ne, n",,,,
6006-awi-awi-benefactive-s,mohawk,give,-awi,,,,
6006-awi-awi-benefactive-t,mohawk,benefactive,-awi,,,,
6007-ni-ni-benefactive-s,mohawk,lend,-ni,,,,
6007-ni-ni-benefactive-t,mohawk,benefactive,-ni,,,,
6010-akon-akon-locative-s,mohawk,beinside,-(a)kon,,,,
6010-akon-akon-locative-t,mohawk,locative,-akon,,,,
6002-kaowanen-kowa-augmentative-s,mohawk,bebig,(ka-)owan(-en),,,,
6002-kaowanen-kowa-augmentative-t,mohawk,augmentative,=kó:wa,,,,
6015-en-iaken-evidentialreported-s,mohawk,say,-en,,,,
6015-en-iaken-evidentialreported-t,mohawk,evidentialreported,ia:ken,,,,
6012-kweni-kweni-pipossibility-s,mohawk,win,kwé:ni',,,,
6012-kweni-kweni-pipossibility-t,mohawk,pipossibility,-kwé:ni',,,,
6008-hst-hst-applicative-s,mohawk,use,*-hst,,,,
6008-hst-hst-applicative-t,mohawk,applicative,-hst,,,,
6014-hkw-hkw-applicative-s,mohawk,takepickup,-hkw,,,,
6014-hkw-hkw-applicative-t,mohawk,applicative,hkw-,,,,
6011-akon-akon-nominalizer-s,mohawk,beinside,-(a)kon,,,,
6011-akon-akon-nominalizer-t,mohawk,nominalizer,-akon,,,,
6001-okona-okona-plural-s,mohawk,distributive,=okon'a,,,,
6001-okona-okona-plural-t,mohawk,plural,=okon'a,,,,
6005-at-at-passive-s,mohawk,reflexive,-at-,,,,
6005-at-at-passive-t,mohawk,passive,-at-,,,,
24002-ondae-ondae-plural-s,mori,personalpronoun,ondae,,,,
24002-ondae-ondae-plural-t,mori,plural,ondae,,,,
9006-e-ea-negation-s,nanai,notdo,e-,,,,
9006-e-ea-negation-t,nanai,negation,"-e-, -a-",,,,
9020-unmimari-jam-quotative-s,nanai,say,"un(-mi, -mAri)",,,,
9020-unmimari-jam-quotative-t,nanai,quotative,=(j)Am,,,,
9009-sal-salsel-plural-s,nanai,collectivenumber,-sA(-l),,,,
9009-sal-salsel-plural-t,nanai,plural,"-sal, -sel",,,,
10030-acabar-ka-completive-s,negerhollands,finish,acabar,,,,
10030-acabar-ka-completive-t,negerhollands,completive,kā,,,,
10016-lopen-lo-future-s,negerhollands,go,lopen,,,,
10016-lopen-lo-future-t,negerhollands,future,lo,,,,
23001-radi-ra-patientcase-s,newpersian,concerncase,rādi,,,,
23001-radi-ra-patientcase-t,newpersian,patientcase,=rā,,,,
23002-radi-ra-focus-s,newpersian,concerncase,rādi,,,,
23002-radi-ra-focus-t,newpersian,focus,=rā,,,,
23047-raw-rav-proximativeaspect-s,newpersian,go,*raw-,,,,
23047-raw-rav-proximativeaspect-t,newpersian,proximativeaspect,rav-,,,,
23067-xwaz-xwah-proximativeaspect-s,newpersian,want,*xwaz-,,,,
23067-xwaz-xwah-proximativeaspect-t,newpersian,proximativeaspect,xwāh,,,,
23069-jan-zan-female-s,newpersian,woman,*ǰan-,,,,
23069-jan-zan-female-t,newpersian,female,zan,,,,
23027-tanu-tan-intensifier-s,newpersian,body,*tanu-,,,,
23027-tanu-tan-intensifier-t,newpersian,intensifier,tan,,,,
23016-dar-dar-hpossessive-s,newpersian,hold,√*dār,,,,
23016-dar-dar-hpossessive-t,newpersian,hpossessive,dār-,,,,
23012-hame-mi-present-s,newpersian,always,hamē,,,,
23012-hame-mi-present-t,newpersian,present,mī-,,,,
23066-xwaz-xwah-future-s,newpersian,want,*xwaz-,,,,
23066-xwaz-xwah-future-t,newpersian,future,xwāh,,,,
23049-syaw-sod-passive-s,newpersian,go,*šyaw-,,,,
23049-syaw-sod-passive-t,newpersian,passive,šod,,,,
23008-ya-e-linker-s,newpersian,relativizer,*ya-,,,,
23008-ya-e-linker-t,newpersian,linker,=e,,,,
23013-bai-be-subjunctive-s,newpersian,andative,*bai,,,,
23013-bai-be-subjunctive-t,newpersian,subjunctive,be-,,,,
23005-iyawa-ha-plural-s,newpersian,nominalizer,*-iyaθwa-,,,,
23005-iyawa-ha-plural-t,newpersian,plural,-hā,,,,
23046-raw-raw-progressive-s,newpersianafghan,go,*raw-,,,,
23046-raw-raw-progressive-t,newpersianafghan,progressive,raw-,,,,
1012-ukhu-yku-intensive-s,northjuninquechua,bodyinterior,uk(h)u,,,,
1012-ukhu-yku-intensive-t,northjuninquechua,intensive,-y(k)u,,,,
1011-rqurqa-rura-perfective-s,northjuninquechua,outspatial,"*-rqu, *-rqa",,,,
1011-rqurqa-rura-perfective-t,northjuninquechua,perfective,"-ru, -ra",,,,
12005-arnda-arnda-progressive-s,nyigina,go,-arnda,,,,
12005-arnda-arnda-progressive-t,nyigina,progressive,-arnda,,,,
12004-yiburu-yiburu-untilcaseconjunction-s,nyigina,place,(-yi) buru,,,,
12004-yiburu-yiburu-untilcaseconjunction-t,nyigina,untilcaseconjunction,-yibur(u),,,,
12017-jid-jid-changeofstate-s,nyulnyul,go,-jid,,,,
12017-jid-jid-changeofstate-t,nyulnyul,changeofstate,-jid,,,,
12020-na-nan-durative-s,nyulnyul,sit,*-na,,,,
12020-na-nan-durative-t,nyulnyul,durative,"-na, -n",,,,
12018-warinyjirr-warinyjirr-indefinite-s,nyulnyul,one,warinyjirr,,,,
12018-warinyjirr-warinyjirr-indefinite-t,nyulnyul,indefinite,warinyjirr,,,,
12019-warinyjirr-warinyjirr-same-s,nyulnyul,one,warinyjirr,,,,
12019-warinyjirr-warinyjirr-same-t,nyulnyul,same,warinyjirr,,,,
12013-bakand-bakand-hpossessive-s,nyulnyul,holdkeep,-bakand,,,,
12013-bakand-bakand-hpossessive-t,nyulnyul,hpossessive,-bakand,,,,
12015-jirr-jirr-copula-s,nyulnyul,personalpronoun,jirr,,,,
12015-jirr-jirr-copula-t,nyulnyul,copula,jirr,,,,
23022-data-t-past-s,ossetic,put,*dāta-,,,,
23022-data-t-past-t,ossetic,past,-t-,,,,
23048-syaw-cu-passive-s,ossetic,go,*šyaw-,,,,
23048-syaw-cu-passive-t,ossetic,passive,cæu-,,,,
1006-kama-kama-untilcaseconjunction-s,pacaraosquechua,createaimfit,kama,,,,
1006-kama-kama-untilcaseconjunction-t,pacaraosquechua,untilcaseconjunction,-kama,,,,
10026-hacer-ase-habitual-s,palenquero,do,hacer,,,,
10026-hacer-ase-habitual-t,palenquero,habitual,asé,,,,
23041-krnawkrta-karkird-epossibility-s,parthian,do,*krnaw- / *krta-,,,,
23041-krnawkrta-karkird-epossibility-t,parthian,epossibility,"kar-, kird",,,,
23036-aita-dy-copula-s,pashto,demonstrative,*aita-,,,,
23036-aita-dy-copula-t,pashto,copula,dəy,,,,
23038-awahya-u-personalpronoun-s,persian,demonstrative,*awahya,,,,
23038-awahya-u-personalpronoun-t,persian,personalpronoun,ū,,,,
23057-marta-mard-male-s,persian,man,*marta-,,,,
23057-marta-mard-male-t,persian,male,mard,,,,
23040-krnawkrta-konkard-causative-s,persian,do,*krnaw- / *krta-,,,,
23040-krnawkrta-konkard-causative-t,persian,causative,"kon-, kard",,,,
23043-da-da-causative-s,persian,give,*daθ-,,,,
23043-da-da-causative-t,persian,causative,dā-,,,,
23024-kahya-ke-subordinator-s,persian,wquestion,*kahya,,,,
23024-kahya-ke-subordinator-t,persian,subordinator,ke,,,,
20014-ka-ka-nominalizer-s,pimabajo,stativeaspect,-ka,,,,
20014-ka-ka-nominalizer-t,pimabajo,nominalizer,-ka,,,,
20015-kaam-kam-adjectivizer-s,pimabajo,stativeaspect,-ka (-am),,,,
20015-kaam-kam-adjectivizer-t,pimabajo,adjectivizer,-kam,,,,
20019-ko-ko-subordinator-s,pimabajo,subordinator,ko,,,,
20019-ko-ko-subordinator-t,pimabajo,subordinator,ko,,,,
20006-hgai-g-definite-s,pimabajo,demonstrative,hɨgai,,,,
20006-hgai-g-definite-t,pimabajo,definite,ɨg,,,,
20005-hgai-hg-personalpronoun-s,pimabajo,demonstrative,hɨgai,,,,
20005-hgai-hg-personalpronoun-t,pimabajo,personalpronoun,(h)ɨg,,,,
20012-himia-im-progressive-s,pimabajo,go,him(ia),,,,
20012-himia-im-progressive-t,pimabajo,progressive,-im,,,,
20013-kaat-ka-stativeaspect-s,pimabajo,belying,kaat,,,,
20013-kaat-ka-stativeaspect-t,pimabajo,stativeaspect,-ka,,,,
20007-hmak-hmak-indefinite-s,pimabajo,one,(h)ɨmak,,,,
20007-hmak-hmak-indefinite-t,pimabajo,indefinite,(h)ɨmak,,,,
20002-sosoig-soig-classifier-s,pimabajo,pet,"so', soi (-g)",,,,
20002-sosoig-soig-classifier-t,pimabajo,classifier,soig,,,,
20003-wa-ga-alienable-s,pimabajo,have,*wa,,,,
20003-wa-ga-alienable-t,pimabajo,alienable,-ga,,,,
20008-tudai-tar-causative-s,pimabajo,say,*tudai,,,,
20008-tudai-tar-causative-t,pimabajo,causative,tar,,,,
20017-kaitkais-asas-quotative-s,pimabajo,say,kait [kaiš],,,,
20017-kaitkais-asas-quotative-t,pimabajo,quotative,as [aš],,,,
20016-tuda-tua-evidential-s,pimabajo,dnecessity,*tuda,,,,
20016-tuda-tua-evidential-t,pimabajo,evidential,tua,,,,
20009-tuda-tua-causative-s,pimabajo,dnecessity,*tuda,,,,
20009-tuda-tua-causative-t,pimabajo,causative,-tua,,,,
20001-im-im-plural-s,pimabajo,plural,-(i)m,,,,
20001-im-im-plural-t,pimabajo,plural,-(i)m,,,,
20004-yya-dir-inalienable-s,pimabajo,apossessive,"*-yɨ, *-ya",,,,
20004-yya-dir-inalienable-t,pimabajo,inalienable,-di/-r,,,,
20010-a-a-passive-s,pimabajo,personalpronoun,a=,,,,
20010-a-a-passive-t,pimabajo,passive,a=,,,,
20011-a-a-agreement-s,pimabajo,personalpronoun,a=,,,,
20011-a-a-agreement-t,pimabajo,agreement,a=,,,,
20020-biga-biga-relativizer-s,pimabajo,interrogativeproform,ɨbiga,,,,
20020-biga-biga-relativizer-t,pimabajo,relativizer,ɨbiga,,,,
20018-dam-dam-complementizer-s,pimabajo,nominalizer,-dam,,,,
20018-dam-dam-complementizer-t,pimabajo,complementizer,-dam,,,,
8014-jsm-m-agreement-s,polish,copula,jsmь,,,,
8014-jsm-m-agreement-t,polish,agreement,-m,,,,
8023-miecnt-miec-perfectaspect-s,polish,have,mieć (+ -n/t-),,,,
8023-miecnt-miec-perfectaspect-t,polish,perfectaspect,mieć,,,,
8005-zostac-zostac-passive-s,polish,remain,zostać,,,,
8005-zostac-zostac-passive-t,polish,passive,Zostać,,,,
10021-estava-tava-past-s,principense,copula,estava,,,,
10021-estava-tava-past-t,principense,past,tava,,,,
1004-pikta-pita-ablativespatial-s,quechuai,locative,-pi(-(k)ta),,,,
1004-pikta-pita-ablativespatial-t,quechuai,ablativespatial,-pita,,,,
1009-yka-ykaya-progressive-s,quechuai,copula,(-y) ka,,,,
1009-yka-ykaya-progressive-t,quechuai,progressive,"-yka(:)-, -ya(:)-",,,,
1019-cay-cay-subordinator-s,quechuai,demonstrative,čay,,,,
1019-cay-cay-subordinator-t,quechuai,subordinator,čay,,,,
1021-usa-usa-after-s,quechuai,endfinish,uša-,,,,
1021-usa-usa-after-t,quechuai,after,uša-,,,,
1028-waqta-waqta-sidecase-s,quechuai,backbodypart,waqta,,,,
1028-waqta-waqta-sidecase-t,quechuai,sidecase,waqta,,,,
1005-cawpi-caw-locative-s,quechuai,middlecenter,č̣awpi,,,,
1005-cawpi-caw-locative-t,quechuai,locative,-č̣aw,,,,
1017-wasa-wasa-behind-s,quechuai,backbodypart,waša,,,,
1017-wasa-wasa-behind-t,quechuai,behind,waša,,,,
1027-ni-ni-complementizer-s,quechuai,say,ni-,,,,
1027-ni-ni-complementizer-t,quechuai,complementizer,ni-,,,,
1026-huk-huk-same-s,quechuai,one,huk,,,,
1026-huk-huk-same-t,quechuai,same,huk,,,,
1023-uma-uma-upperpartofbody-s,quechuai,head,uma,,,,
1023-uma-uma-upperpartofbody-t,quechuai,upperpartofbody,uma,,,,
1018-samu-mu-venitive-s,quechuai,come,šamu-,,,,
1018-samu-mu-venitive-t,quechuai,venitive,-mu-,,,,
1003-mankta-manta-ablativespatial-s,quechuaii,allative,-man(-(k)ta),,,,
1003-mankta-manta-ablativespatial-t,quechuaii,ablativespatial,-manta,,,,
1020-cay-cay-relativizer-s,quechuaii,demonstrative,čay,,,,
1020-cay-cay-relativizer-t,quechuaii,relativizer,čay,,,,
1022-ri-ri-inceptive-s,quechuaii,go,ri-,,,,
1022-ri-ri-inceptive-t,quechuaii,inceptive,ri-,,,,
1030-warmi-warmi-female-s,quechuaii,woman,warmi,,,,
1030-warmi-warmi-female-t,quechuaii,female,warmi,,,,
1007-cika-cik-plural-s,quechuaii,sizeamount,čika,,,,
1007-cika-cik-plural-t,quechuaii,plural,-čik,,,,
1024-runa-runa-indefinitepronoun-s,quechuaii,man,runa,,,,
1024-runa-runa-indefinitepronoun-t,quechuaii,indefinitepronoun,runa,,,,
1001-kuna-ku-agreement-s,quechuaii,plural,-kuna,,,,
1001-kuna-ku-agreement-t,quechuaii,agreement,-ku,,,,
1008-kuna-ku-plural-s,quechuaii,plural,-kuna,,,,
1008-kuna-ku-plural-t,quechuaii,plural,-ku,,,,
1014-sqa-sqa-past-s,quechuaii,nominalizer,-sqa,,,,
1014-sqa-sqa-past-t,quechuaii,past,-sqa,,,,
24005-mai-mai-venitive-s,ratahan,come,mai,,,,
24005-mai-mai-venitive-t,ratahan,venitive,mai,,,,
21049-va-osa-future-s,romanian,future,va,,,,
21049-va-osa-future-t,romanian,future,=o (+ să),,,,
21044-unus-ins-indefinitemarker-s,romansh,one,unus,,,,
21044-unus-ins-indefinitemarker-t,romansh,indefinitemarker,ins,,,,
8019-bylol-bylol-avertive-s,russian,pluperfect,by-l-o (+ -l-),,,,
8019-bylol-bylol-avertive-t,russian,avertive,bylo (+ -l-),,,,
8009-bhuti-budet-future-s,russian,copula,*bhu-ti,,,,
8009-bhuti-budet-future-t,russian,future,budet,,,,
8011-l-l-past-s,russian,copula,(-l) ø,,,,
8011-l-l-past-t,russian,past,-l,,,,
8007-mosti-moc-epossibility-s,russian,bemighty,mošti,,,,
8007-mosti-moc-epossibility-t,russian,epossibility,moč',,,,
8013-pustit-pust-hortative-s,russian,letrelease,pustit',,,,
8013-pustit-pust-hortative-t,russian,hortative,pust',,,,
8018-prixoditsja-prixoditsja-dnecessity-s,russian,arrive,prixodit'sja,,,,
8018-prixoditsja-prixoditsja-dnecessity-t,russian,dnecessity,prixodit'sja,,,,
8006-dat-dat-causative-s,russian,give,dat',,,,
8006-dat-dat-causative-t,russian,causative,dat',,,,
8008-vzjat-vzjat-mirative-s,russian,take,vzjat',,,,
8008-vzjat-vzjat-mirative-t,russian,mirative,vzjat',,,,
8017-ij-ij-conditionalconjunction-s,russian,imperative,"-i, -j",,,,
8017-ij-ij-conditionalconjunction-t,russian,conditionalconjunction,"-i, -j",,,,
8003-ji-oejv-agreement-s,russian,personalpronoun,ji,,,,
8003-ji-oejv-agreement-t,russian,agreement,-(o/e)j + V,,,,
8004-sebja-sja-passive-s,russian,reflexive,sebja,,,,
8004-sebja-sja-passive-t,russian,passive,-sja,,,,
11028-si-si-future-s,rutul,copula,(-s) i,,,,
11028-si-si-future-t,rutul,future,-si,,,,
11049-hisxujn-hisxujn-causeconjunction-s,rutul,say,(his +) xu(-jnɨ),,,,
11049-hisxujn-hisxujn-causeconjunction-t,rutul,causeconjunction,his xujnɨ,,,,
11036-jqa-jqa-hortative-s,rutul,come,jɨq'(-a),,,,
11036-jqa-jqa-hortative-t,rutul,hortative,jɨq'a,,,,
23011-sai-es-agreement-s,semnani,personalpronoun,*=šai,,,,
23011-sai-es-agreement-t,semnani,agreement,=eš,,,,
10019-etait-ti-past-s,seychellescreole,copula,etait,,,,
10019-etait-ti-past-t,seychellescreole,past,ti,,,,
10042-ca-sa-focus-s,seychellescreole,demonstrative,ça,,,,
10042-ca-sa-focus-t,seychellescreole,focus,sa,,,,
10018-pouretre-pou-future-s,seychellescreole,inordertobe,pour (etre),,,,
10018-pouretre-pou-future-t,seychellescreole,future,pou,,,,
10028-finir-finin-completive-s,seychellescreole,finish,finir,,,,
10028-finir-finin-completive-t,seychellescreole,completive,"fin, (i)n",,,,
10046-prendre-pran-instrumental-s,seychellescreole,take,prendre,,,,
10046-prendre-pran-instrumental-t,seychellescreole,instrumental,pran,,,,
10047-prendre-pran-patientcase-s,seychellescreole,take,prendre,,,,
10047-prendre-pran-patientcase-t,seychellescreole,patientcase,pran,,,,
10045-acote-kot-locative-s,seychellescreole,side,(à) côté,,,,
10045-acote-kot-locative-t,seychellescreole,locative,kot,,,,
10044-pourdir-pourdir-complementizer-s,seychellescreole,say,(pour +) dir,,,,
10044-pourdir-pourdir-complementizer-t,seychellescreole,complementizer,pourdir,,,,
10005-bande-bann-plural-s,seychellescreole,group,bande,,,,
10005-bande-bann-plural-t,seychellescreole,plural,bann,,,,
10033-camarade-kanmarad-reciprocalpronoun-s,seychellescreole,camarade,camarade,,,,
10033-camarade-kanmarad-reciprocalpronoun-t,seychellescreole,reciprocalpronoun,kanmarad,,,,
10043-gagner-ganny-passive-s,seychellescreole,get,gagner,,,,
10043-gagner-ganny-passive-t,seychellescreole,passive,ganny,,,,
8024-nehati-nech-hortative-s,slovak,let,nehati,,,,
8024-nehati-nech-hortative-t,slovak,hortative,nech,,,,
23035-hau-xu-copula-s,sogdian,demonstrative,*hau,,,,
23035-hau-xu-copula-t,sogdian,copula,(ə)xu,,,,
23018-dar-r-perfectaspect-s,sogdian,hold,*dār-,,,,
23018-dar-r-perfectaspect-t,sogdian,perfectaspect,δˀr-,,,,
23056-kam-kam-future-s,sogdian,love,*kām-,,,,
23056-kam-kam-future-t,sogdian,future,kām,,,,
23019-baw-bw-middle-s,sogdian,become,√*baw,,,,
23019-baw-bw-middle-t,sogdian,middle,bw-,,,,
23037-hau-xu-definite-s,sogdian,demonstrative,*hau,,,,
23037-hau-xu-definite-t,sogdian,definite,(ə)xu,,,,
23006-tat-t-plural-s,sogdian,nominalizer,*-tāt-,,,,
23006-tat-t-plural-t,sogdian,plural,-t,,,,
23020-skwn-skwn-progressive-s,sogdianmanichean,remain,skwn,,,,
23020-skwn-skwn-progressive-t,sogdianmanichean,progressive,skwn,,,,
10041-firsttime-fastaem-frontcase-s,solomonislandspijin,time,(first) time,,,,
10041-firsttime-fastaem-frontcase-t,solomonislandspijin,frontcase,fastaem,,,,
1010-naka-nka-verbalizer-s,southernaymara,copula,(-n(a)) k(a),,,,
1010-naka-nka-verbalizer-t,southernaymara,verbalizer,-nk(a),,,,
21002-s-s-plural-s,spanish,patientcase,-s,,,,
21002-s-s-plural-t,spanish,plural,-s,,,,
21020-estar-estar-progressive-s,spanish,copula,estar,,,,
21020-estar-estar-progressive-t,spanish,progressive,estar,,,,
21014-esse-ser-passive-s,spanish,copula,esse,,,,
21014-esse-ser-passive-t,spanish,passive,ser,,,,
21019-haber-haber-perfectaspect-s,spanish,have,haber,,,,
21019-haber-haber-perfectaspect-t,spanish,perfectaspect,haber,,,,
21021-andar-andar-progressive-s,spanish,walk,andar,,,,
21021-andar-andar-progressive-t,spanish,progressive,andar,,,,
21031-venire-venir-durative-s,spanish,come,venire,,,,
21031-venire-venir-durative-t,spanish,durative,venir,,,,
21037-ir-ir-durative-s,spanish,go,ir,,,,
21037-ir-ir-durative-t,spanish,durative,ir,,,,
21046-sequi-seguir-durative-s,spanish,follow,sequi,,,,
21046-sequi-seguir-durative-t,spanish,durative,seguir,,,,
21005-unum-un-indefinite-s,spanish,one,unum,,,,
21005-unum-un-indefinite-t,spanish,indefinite,un,,,,
21016-lagente-lagente-indefinite-s,spanish,people,(la +) gente,,,,
21016-lagente-lagente-indefinite-t,spanish,indefinite,la gente,,,,
21043-unumam-unumam-indefinitearticle-s,spanish,one,unum/-am,,,,
21043-unumam-unumam-indefinitearticle-t,spanish,indefinitearticle,unum/-am,,,,
21022-haber-haber-enecessity-s,spanish,have,haber,,,,
21022-haber-haber-enecessity-t,spanish,enecessity,haber,,,,
21004-tenere-tener-hpossessive-s,spanish,hold,tenere,,,,
21004-tenere-tener-hpossessive-t,spanish,hpossessive,tener,,,,
21017-ira-ira-future-s,spanish,go,ir (+ a),,,,
21017-ira-ira-future-t,spanish,future,ir (a),,,,
21018-acabarde-acabarde-pastnear-s,spanish,end,acabar (+ de),,,,
21018-acabarde-acabarde-pastnear-t,spanish,pastnear,acabar (de),,,,
21015-quedar-quedar-passive-s,spanish,remain,quedar,,,,
21015-quedar-quedar-passive-t,spanish,passive,quedar,,,,
21028-hacer-hacer-causative-s,spanish,do,hacer,,,,
21028-hacer-hacer-causative-t,spanish,causative,hacer,,,,
21033-facere-hacer-causative-s,spanish,do,facere,,,,
21033-facere-hacer-causative-t,spanish,causative,hacer,,,,
21023-deber-deber-enecessity-s,spanish,dnecessity,deber,,,,
21023-deber-deber-enecessity-t,spanish,enecessity,deber,,,,
21001-a-a-female-s,spanish,plural,-a,,,,
21001-a-a-female-t,spanish,female,-a,,,,
21007-meus-mi-apossessive-s,spanish,apossessive,meus,,,,
21007-meus-mi-apossessive-t,spanish,apossessive,mi,,,,
21025-que-que-complementizer-s,spanish,relativizer,que,,,,
21025-que-que-complementizer-t,spanish,complementizer,que,,,,
21024-qui-que-relativizer-s,spanish,relativizer,qui,,,,
21024-qui-que-relativizer-t,spanish,relativizer,que,,,,
21006-ille-la-definite-s,spanish,distalspatial,ille,,,,
21006-ille-la-definite-t,spanish,definite,la,,,,
21008-ad-a-recipientcase-s,spanish,allative,ad,,,,
21008-ad-a-recipientcase-t,spanish,recipientcase,a,,,,
21009-ad-a-patientcase-s,spanish,allative,ad,,,,
21009-ad-a-patientcase-t,spanish,patientcase,a,,,,
21010-de-de-partitive-s,spanish,ablativespatial,de,,,,
21010-de-de-partitive-t,spanish,partitive,de,,,,
21003-de-de-apossessive-s,spanish,ablativespatial,de,,,,
21003-de-de-apossessive-t,spanish,apossessive,de,,,,
21013-se-se-indefinite-s,spanish,reflexive,se,,,,
21013-se-se-indefinite-t,spanish,indefinite,se,,,,
21011-se-se-lackofcontrol-s,spanish,reflexive,se,,,,
21011-se-se-lackofcontrol-t,spanish,lackofcontrol,se,,,,
21012-se-se-passive-s,spanish,reflexive,se,,,,
21012-se-se-passive-t,spanish,passive,se,,,,
10001-da-a-definite-s,sranan,demonstrative,da,,,,
10001-da-a-definite-t,sranan,definite,a,,,,
10039-tapu-tapu-upspatial-s,sranan,top,tapu,,,,
10039-tapu-tapu-upspatial-t,sranan,upspatial,tapu,,,,
10038-taki-taki-complementizer-s,sranan,talk,taki,,,,
10038-taki-taki-complementizer-t,sranan,complementizer,taki,,,,
10003-one-wan-indefinite-s,sranan,one,one,,,,
10003-one-wan-indefinite-t,sranan,indefinite,wan,,,,
10013-para-pa-patientcase-s,srilankaportugese,benefactive,para,,,,
10013-para-pa-patientcase-t,srilankaportugese,patientcase,-pa,,,,
11051-kuri-kuri-complementizer-s,tabasaran,say,k'u(-ri),,,,
11051-kuri-kuri-complementizer-t,tabasaran,complementizer,k'uri,,,,
11011-pi-pi-ordinalnumeral-s,tabasaran,say,pi,,,,
11011-pi-pi-ordinalnumeral-t,tabasaran,ordinalnumeral,-pi,,,,
11048-uvuz-vuz-agreement-s,tabasaran,personalpronoun,uvu(-z),,,,
11048-uvuz-vuz-agreement-t,tabasaran,agreement,-vuz,,,,
11043---perfective-s,tabasaran,up,ʁ-,,,,
11043---perfective-t,tabasaran,perfective,ʁ-,,,,
24004-ompo-po-incompletive-s,tajio,still,ompo,,,,
24004-ompo-po-incompletive-t,tajio,incompletive,=po,,,,
24001-bua-bua-classifier-s,tajio,piece,bua,,,,
24001-bua-bua-classifier-t,tajio,classifier,bua,,,,
24007-too-to-relativizer-s,tajio,person,too,,,,
24007-too-to-relativizer-t,tajio,relativizer,to,,,,
23031-m-m-focus-s,talyshi,copula,=m,,,,
23031-m-m-focus-t,talyshi,focus,=m,,,,
23004-haca-ca-apossessive-s,talyshi,ablativespatial,*hača,,,,
23004-haca-ca-apossessive-t,talyshi,apossessive,ča-,,,,
23025-iyawa-ho-complementizer-s,tatjewish,nominalizer,*-iyaθwa-,,,,
23025-iyawa-ho-complementizer-t,tatjewish,complementizer,=ho,,,,
